  Date_obs   Time_obs   Obs_type   Fea_type    NOAA   id    X_arc    Y_arc    r_arc theta_deg    b_deg    l_deg  lcm_deg  A_deg2   A_MSH          A_km2        P_Total         P_Mean          P_Min          P_Max          P_Std
2013-07-04   16:08:10  continuum      umbra   11781   18   886.75   357.05   955.94     21.93    -9999    -9999    -9999   16.06  778.72  2368143159.55      124422.46       62211.23          62184       62238.47          27.24
2013-07-04   16:08:10  continuum      umbra   11781   19   886.58   357.07   955.79     21.94    -9999    -9999    -9999   16.22  786.46  2391663394.81     2836689.88       61667.17       59994.09       62422.82         699.04
2013-07-04   16:08:10  continuum      umbra   11781   20   886.75   357.05   955.93     21.93    -9999    -9999    -9999   16.07  779.04  2369093757.93       186566.4        62188.8       62065.38       62357.86         123.69
2013-07-04   16:08:10  continuum      umbra   11781   21   886.74   357.05   955.92     21.93    -9999    -9999    -9999   16.07  779.24  2369718877.49      308743.56       61748.71       61115.43       62410.69         542.65
2013-07-04   16:08:10  continuum   penumbra   11781    1   886.28    356.8   955.41     21.93    -9999    -9999    -9999    16.7  809.46  2461611786.14    10494805.03       61373.13       59683.04        63077.5         744.17
2013-07-04   16:08:10  continuum   penumbra   11781    2   886.75   357.04   955.94     21.93    -9999    -9999    -9999   16.06  778.72  2368139382.05      124688.39       62344.19       62307.27       62381.12          36.92
2013-07-04   16:08:10  continuum   penumbra   11781    3   886.75   357.04   955.93     21.93    -9999    -9999    -9999   16.07  778.93  2368763031.98      186133.28       62044.43       61718.94       62359.48          261.6
2013-07-04   16:08:10  continuum   penumbra   11781    4   886.73   357.03   955.91     21.93    -9999    -9999    -9999    16.1  780.51  2373573745.73      678900.78       61718.25       60725.61       62287.26         438.19
2013-07-04   16:08:10  continuum   penumbra   11781    5   886.76   357.04   955.94     21.93    -9999    -9999    -9999   16.06  778.76   2368264360.1      124415.48       62207.74       62199.25       62216.23           8.49
2013-07-04   16:08:10  continuum   penumbra   11781    6   886.64   356.99   955.81     21.93    -9999    -9999    -9999   16.35  792.76  2410830338.41     3809928.29       61450.46        59301.5       62424.36         725.21
2013-07-04   16:08:10  continuum   penumbra   11781    7   886.75   357.04   955.93     21.93    -9999    -9999    -9999   16.07  778.93  2368767193.21      186158.53       62052.84       61882.94       62267.83         160.33
2013-07-04   16:08:10  continuum   penumbra   11781    8   886.76   357.04   955.94     21.93    -9999    -9999    -9999   16.06  778.78  2368313639.78      123833.03       61916.51       61872.58       61960.44          43.93
2013-07-04   16:08:10  continuum   penumbra   11781    9   886.75   357.04   955.93     21.93    -9999    -9999    -9999   16.06  778.67  2367981857.44      124332.12       62166.06       62036.16       62295.96          129.9
2013-07-04   16:08:10  continuum   penumbra   11781   10   885.61   356.96   954.84     21.95    -9999    -9999    -9999    17.2  834.05   2536383784.1    19358914.04       59749.73       38664.69       63098.76        4737.08
2013-07-04   16:08:10  continuum   penumbra   11781   11   886.76   357.04   955.94     21.93    -9999    -9999    -9999   16.06  778.79   2368338597.9      124505.96       62252.98       62100.81       62405.15         152.17
2013-07-04   16:08:10  continuum   penumbra   11781   12   886.75   357.04   955.93     21.93    -9999    -9999    -9999   16.07  779.22  2369633832.91      248204.66       62051.16       61567.71       62297.92          289.1
2013-07-04   16:08:10  continuum   penumbra   11781   13   886.73   357.04   955.91     21.93    -9999    -9999    -9999   16.13  781.84  2377610761.42      927986.47       61865.76       61196.27       62417.67         390.94
2013-07-04   16:08:10  continuum   penumbra   11781   14   886.72   357.04   955.91     21.93    -9999    -9999    -9999   16.14  782.39  2379287024.51     1046914.55       61583.21       60526.52       62237.66         543.57
2013-07-04   16:08:10  continuum   penumbra   11781   15   886.75   357.04   955.93     21.93    -9999    -9999    -9999   16.06  778.66  2367958967.99      124406.04       62203.02       62034.77       62371.27         168.25
